Classification Name,"Time","Country Name","Population"
Food Prices for Nutrition 1.0,"2017","China","1396215000"
Food Prices for Nutrition 1.0,"2017","Colombia","48909844"
Food Prices for Nutrition 1.0,"2017","Comoros","813890"
Food Prices for Nutrition 1.0,"2017","Congo, Dem. Rep.","81398765"
Food Prices for Nutrition 1.0,"2017","Congo, Rep.","5110701"
Food Prices for Nutrition 1.0,"2017","Costa Rica","4949955"
Food Prices for Nutrition 1.0,"2017","C�te d'Ivoire","24437475"
Food Prices for Nutrition 1.0,"2017","Croatia","4124531"
Food Prices for Nutrition 1.0,"2017","Curacao","160175"
Food Prices for Nutrition 1.0,"2017","Cyprus","1179685"
Food Prices for Nutrition 1.0,"2017","Czech Republic","10594438"
Food Prices for Nutrition 1.0,"2017","Denmark","5764980"
Food Prices for Nutrition 1.0,"2017","Djibouti","944100"
Food Prices for Nutrition 1.0,"2017","Dominica","71460"
Food Prices for Nutrition 1.0,"2017","Dominican Republic","10513111"
Food Prices for Nutrition 1.0,"2017","East Asia & Pacific","2285841820"
Food Prices for Nutrition 1.0,"2017","Ecuador","16785356"
Food Prices for Nutrition 1.0,"2017","Egypt, Arab Rep.","96442590"
Food Prices for Nutrition 1.0,"2017","El Salvador","6388124"
Food Prices for Nutrition 1.0,"2017","Equatorial Guinea","1262008"
Food Prices for Nutrition 1.0,"2017","Estonia","1317384"
Food Prices for Nutrition 1.0,"2017","Eswatini","1124808"
Food Prices for Nutrition 1.0,"2017","Ethiopia","106399926"
Food Prices for Nutrition 1.0,"2017","Europe & Central Asia","825534541"
Food Prices for Nutrition 1.0,"2017","Fiji","877460"
Food Prices for Nutrition 1.0,"2017","Finland","5508214"
Food Prices for Nutrition 1.0,"2017","France","66918020"
Food Prices for Nutrition 1.0,"2017","Gabon","2064812"
Food Prices for Nutrition 1.0,"2017","Gambia, The","2213900"
Food Prices for Nutrition 1.0,"2017","Germany","82657002"
Food Prices for Nutrition 1.0,"2017","Ghana","29121464"
Food Prices for Nutrition 1.0,"2017","Greece","10754679"
Food Prices for Nutrition 1.0,"2017","Grenada","110874"
Food Prices for Nutrition 1.0,"2017","Guinea","12067516"
Food Prices for Nutrition 1.0,"2017","Guinea-Bissau","1828146"
Food Prices for Nutrition 1.0,"2017","Guyana","775218"
Food Prices for Nutrition 1.0,"2017","Haiti","10982367"
Food Prices for Nutrition 1.0,"2017","High income","1194816765"
Food Prices for Nutrition 1.0,"2017","Honduras","9429016"
Food Prices for Nutrition 1.0,"2017","Hong Kong SAR, China","7391700"
Food Prices for Nutrition 1.0,"2017","Hungary","9787966"
Food Prices for Nutrition 1.0,"2017","Iceland","343400"
Food Prices for Nutrition 1.0,"2017","India","1338676779"
Food Prices for Nutrition 1.0,"2017","Indonesia","264650969"
Food Prices for Nutrition 1.0,"2017","Iran, Islamic Rep.","80673888"
Food Prices for Nutrition 1.0,"2017","Iraq","37552789"
Food Prices for Nutrition 1.0,"2017","Ireland","4807388"
Food Prices for Nutrition 1.0,"2017","Israel","8713300"
Food Prices for Nutrition 1.0,"2017","Italy","60536709"
Food Prices for Nutrition 1.0,"2017","Jamaica","2920848"
Food Prices for Nutrition 1.0,"2017","Japan","126785797"
Food Prices for Nutrition 1.0,"2017","Jordan","9785840"
Food Prices for Nutrition 1.0,"2017","Kazakhstan","18037776"
Food Prices for Nutrition 1.0,"2017","Kenya","50221146"
Food Prices for Nutrition 1.0,"2017","Korea, Rep.","51361911"
Food Prices for Nutrition 1.0,"2017","Kuwait","4056102"
Food Prices for Nutrition 1.0,"2017","Kyrgyz Republic","6198200"
Food Prices for Nutrition 1.0,"2017","Lao PDR","6953031"
Food Prices for Nutrition 1.0,"2017","Latin America & Caribbean","574267763"
Food Prices for Nutrition 1.0,"2017","Latvia","1942248"
Food Prices for Nutrition 1.0,"2017","Lesotho","2091532"
Food Prices for Nutrition 1.0,"2017","Liberia","4702224"
Food Prices for Nutrition 1.0,"2017","Lithuania","2828403"
Food Prices for Nutrition 1.0,"2017","Low income","479395884"
Food Prices for Nutrition 1.0,"2017","Lower middle income","3106274008"
Food Prices for Nutrition 1.0,"2017","Luxembourg","596336"
Food Prices for Nutrition 1.0,"2017","Madagascar","25570511"
Food Prices for Nutrition 1.0,"2017","Malawi","17670193"
Food Prices for Nutrition 1.0,"2017","Malaysia","31104655"
Food Prices for Nutrition 1.0,"2017","Maldives","496398"
Food Prices for Nutrition 1.0,"2017","Mali","18512429"
Food Prices for Nutrition 1.0,"2017","Malta","467999"
Food Prices for Nutrition 1.0,"2017","Mauritania","4282582"
Food Prices for Nutrition 1.0,"2017","Mauritius","1264613"
Food Prices for Nutrition 1.0,"2017","Mexico","124777326"
Food Prices for Nutrition 1.0,"2017","Middle East & North Africa","382968401"
Food Prices for Nutrition 1.0,"2017","Moldova","2755158"
Food Prices for Nutrition 1.0,"2017","Mongolia","3113788"
Food Prices for Nutrition 1.0,"2017","Montenegro","622373"
Food Prices for Nutrition 1.0,"2017","Montserrat",""
Food Prices for Nutrition 1.0,"2017","Morocco","35581257"
Food Prices for Nutrition 1.0,"2017","Mozambique","28649007"
Food Prices for Nutrition 1.0,"2017","Myanmar","53382521"
Food Prices for Nutrition 1.0,"2017","Namibia","2402623"
Food Prices for Nutrition 1.0,"2017","Nepal","27632682"
Food Prices for Nutrition 1.0,"2017","Netherlands","17131296"
Food Prices for Nutrition 1.0,"2017","New Zealand","4813600"
Food Prices for Nutrition 1.0,"2017","Nicaragua","6384843"
Food Prices for Nutrition 1.0,"2017","Niger","21602388"
Food Prices for Nutrition 1.0,"2017","Nigeria","190873247"
Food Prices for Nutrition 1.0,"2017","North America","361731296"
Food Prices for Nutrition 1.0,"2017","North Macedonia","2074502"
Food Prices for Nutrition 1.0,"2017","Norway","5276968"
Food Prices for Nutrition 1.0,"2017","Oman","4665926"
Food Prices for Nutrition 1.0,"2017","Pakistan","207906210"
Food Prices for Nutrition 1.0,"2017","Panama","4106764"
Food Prices for Nutrition 1.0,"2017","Paraguay","6867058"
Food Prices for Nutrition 1.0,"2017","Peru","31444299"
Food Prices for Nutrition 1.0,"2017","Philippines","105172921"
Food Prices for Nutrition 1.0,"2017","Poland","37974826"
Food Prices for Nutrition 1.0,"2017","Portugal","10300300"
Food Prices for Nutrition 1.0,"2017","Qatar","2724727"
Food Prices for Nutrition 1.0,"2017","Romania","19588715"
Food Prices for Nutrition 1.0,"2017","Russian Federation","144496739"
Food Prices for Nutrition 1.0,"2017","Rwanda","11980960"
Food Prices for Nutrition 1.0,"2017","Sao Tome and Principe","207086"
Food Prices for Nutrition 1.0,"2017","Saudi Arabia","33101183"
Food Prices for Nutrition 1.0,"2017","Senegal","15419354"
Food Prices for Nutrition 1.0,"2017","Serbia","7020858"
Food Prices for Nutrition 1.0,"2017","Seychelles","95843"
Food Prices for Nutrition 1.0,"2017","Sierra Leone","7488427"
Food Prices for Nutrition 1.0,"2017","Singapore","5612253"
Food Prices for Nutrition 1.0,"2017","Sint Maarten (Dutch part)","40574"
Food Prices for Nutrition 1.0,"2017","Slovak Republic","5439232"
Food Prices for Nutrition 1.0,"2017","Slovenia","2066388"
Food Prices for Nutrition 1.0,"2017","South Africa","57009751"
Food Prices for Nutrition 1.0,"2017","South Asia","1756587053"
Food Prices for Nutrition 1.0,"2017","Spain","46593236"
Food Prices for Nutrition 1.0,"2017","Sri Lanka","21444000"
Food Prices for Nutrition 1.0,"2017","St. Kitts and Nevis","52036"
Food Prices for Nutrition 1.0,"2017","St. Lucia","180955"
Food Prices for Nutrition 1.0,"2017","St. Vincent and the Grenadines","109826"
Food Prices for Nutrition 1.0,"2017","Sub-Saharan Africa","1021249977"
Food Prices for Nutrition 1.0,"2017","Sudan","40813398"
Food Prices for Nutrition 1.0,"2017","Suriname","570501"
Food Prices for Nutrition 1.0,"2017","Sweden","10057698"
Food Prices for Nutrition 1.0,"2017","Switzerland","8451840"
Food Prices for Nutrition 1.0,"2017","Taiwan, China","23560000"
Food Prices for Nutrition 1.0,"2017","Tajikistan","8880270"
Food Prices for Nutrition 1.0,"2017","Tanzania","54660345"
Food Prices for Nutrition 1.0,"2017","Thailand","69209817"
Food Prices for Nutrition 1.0,"2017","Togo","7698476"
Food Prices for Nutrition 1.0,"2017","Trinidad and Tobago","1384060"
Food Prices for Nutrition 1.0,"2017","Tunisia","11433438"
Food Prices for Nutrition 1.0,"2017","T�rkiye","81116451"
Food Prices for Nutrition 1.0,"2017","Turks and Caicos Islands","37116"
Food Prices for Nutrition 1.0,"2017","Uganda","41166588"
Food Prices for Nutrition 1.0,"2017","United Arab Emirates","9487206"
Food Prices for Nutrition 1.0,"2017","United Kingdom","66058859"
Food Prices for Nutrition 1.0,"2017","United States","325122128"
Food Prices for Nutrition 1.0,"2017","Upper middle income","2427694194"
Food Prices for Nutrition 1.0,"2017","Uruguay","3436645"
Food Prices for Nutrition 1.0,"2017","Vietnam","94600643"
Food Prices for Nutrition 1.0,"2017","West Bank and Gaza","4454805"
Food Prices for Nutrition 1.0,"2017","World","7208180851"
Food Prices for Nutrition 1.0,"2017","Zambia","16853608"
Food Prices for Nutrition 1.0,"2017","Zimbabwe","14236599"
Food Prices for Nutrition 1.1,"2017","Albania","2873457"
Food Prices for Nutrition 1.1,"2017","Algeria","41136546"
Food Prices for Nutrition 1.1,"2017","Angola","30208628"
Food Prices for Nutrition 1.1,"2017","Anguilla",""
Food Prices for Nutrition 1.1,"2017","Antigua and Barbuda","91119"
Food Prices for Nutrition 1.1,"2017","Argentina","44044811"
Food Prices for Nutrition 1.1,"2017","Armenia","2851923"
Food Prices for Nutrition 1.1,"2017","Aruba","105439"
Food Prices for Nutrition 1.1,"2017","Australia","24594202"
Food Prices for Nutrition 1.1,"2017","Austria","8797566"
Food Prices for Nutrition 1.1,"2017","Azerbaijan","9854033"
Food Prices for Nutrition 1.1,"2017","Bahamas, The","399020"
Food Prices for Nutrition 1.1,"2017","Bahrain","1456834"
Food Prices for Nutrition 1.1,"2017","Bangladesh","161793964"
Food Prices for Nutrition 1.1,"2017","Barbados","279187"
Food Prices for Nutrition 1.1,"2017","Belarus","9458989"
Food Prices for Nutrition 1.1,"2017","Belgium","11375158"
Food Prices for Nutrition 1.1,"2017","Belize","374693"
Food Prices for Nutrition 1.1,"2017","Benin","11596779"
Food Prices for Nutrition 1.1,"2017","Bermuda","63873"
Food Prices for Nutrition 1.1,"2017","Bhutan","756121"
Food Prices for Nutrition 1.1,"2017","Bolivia","11435533"
Food Prices for Nutrition 1.1,"2017","Bonaire",""
Food Prices for Nutrition 1.1,"2017","Bosnia and Herzegovina","3440027"
Food Prices for Nutrition 1.1,"2017","Botswana","2401840"
Food Prices for Nutrition 1.1,"2017","Brazil","208504960"
Food Prices for Nutrition 1.1,"2017","British Virgin Islands","30060"
Food Prices for Nutrition 1.1,"2017","Brunei Darussalam","430276"
Food Prices for Nutrition 1.1,"2017","Bulgaria","7075947"
Food Prices for Nutrition 1.1,"2017","Burkina Faso","19835858"
Food Prices for Nutrition 1.1,"2017","Burundi","11155593"
Food Prices for Nutrition 1.1,"2017","Cabo Verde","564954"
Food Prices for Nutrition 1.1,"2017","Cambodia","15830689"
Food Prices for Nutrition 1.1,"2017","Cameroon","24393181"
Food Prices for Nutrition 1.1,"2017","Canada","36545236"
Food Prices for Nutrition 1.1,"2017","Cayman Islands","63581"
Food Prices for Nutrition 1.1,"2017","Central African Republic","4996741"
Food Prices for Nutrition 1.1,"2017","Chad","15085884"
Food Prices for Nutrition 1.1,"2017","Chile","18368577"
Food Prices for Nutrition 1.1,"2017","China","1396215000"
Food Prices for Nutrition 1.1,"2017","Colombia","48351671"
Food Prices for Nutrition 1.1,"2017","Comoros","761664"
Food Prices for Nutrition 1.1,"2017","Congo, Dem. Rep.","84283273"
Food Prices for Nutrition 1.1,"2017","Congo, Rep.","5312340"
Food Prices for Nutrition 1.1,"2017","Costa Rica","4993842"
Food Prices for Nutrition 1.1,"2017","C�te d'Ivoire","24848016"
Food Prices for Nutrition 1.1,"2017","Croatia","4124531"
Food Prices for Nutrition 1.1,"2017","Curacao","160175"
Food Prices for Nutrition 1.1,"2017","Cyprus","1208523"
Food Prices for Nutrition 1.1,"2017","Czech Republic","10594438"
Food Prices for Nutrition 1.1,"2017","Denmark","5764980"
Food Prices for Nutrition 1.1,"2017","Djibouti","1040233"
Food Prices for Nutrition 1.1,"2017","Dominica","70403"
Food Prices for Nutrition 1.1,"2017","Dominican Republic","10647244"
Food Prices for Nutrition 1.1,"2017","East Asia & Pacific","2288221317"
Food Prices for Nutrition 1.1,"2017","Ecuador","16696944"
Food Prices for Nutrition 1.1,"2017","Egypt, Arab Rep.","101789386"
Food Prices for Nutrition 1.1,"2017","El Salvador","6266654"
Food Prices for Nutrition 1.1,"2017","Equatorial Guinea","1450694"
Food Prices for Nutrition 1.1,"2017","Estonia","1317384"
Food Prices for Nutrition 1.1,"2017","Eswatini","1151390"
Food Prices for Nutrition 1.1,"2017","Ethiopia","108197950"
Food Prices for Nutrition 1.1,"2017","Europe & Central Asia","826577667"
Food Prices for Nutrition 1.1,"2017","Fiji","919019"
Food Prices for Nutrition 1.1,"2017","Finland","5508214"
Food Prices for Nutrition 1.1,"2017","France","66918020"
Food Prices for Nutrition 1.1,"2017","Gabon","2140215"
Food Prices for Nutrition 1.1,"2017","Gambia, The","2381182"
Food Prices for Nutrition 1.1,"2017","Germany","82657002"
Food Prices for Nutrition 1.1,"2017","Ghana","30222262"
Food Prices for Nutrition 1.1,"2017","Greece","10754679"
Food Prices for Nutrition 1.1,"2017","Grenada","120921"
Food Prices for Nutrition 1.1,"2017","Guinea","12240789"
Food Prices for Nutrition 1.1,"2017","Guinea-Bissau","1879826"
Food Prices for Nutrition 1.1,"2017","Guyana","763252"
Food Prices for Nutrition 1.1,"2017","Haiti","10863543"
Food Prices for Nutrition 1.1,"2017","High income","1195574812"
Food Prices for Nutrition 1.1,"2017","Honduras","9626842"
Food Prices for Nutrition 1.1,"2017","Hong Kong SAR, China","7393200"
Food Prices for Nutrition 1.1,"2017","Hungary","9787966"
Food Prices for Nutrition 1.1,"2017","Iceland","343400"
Food Prices for Nutrition 1.1,"2017","India","1354195680"
Food Prices for Nutrition 1.1,"2017","Indonesia","264498852"
Food Prices for Nutrition 1.1,"2017","Iran, Islamic Rep.","84505076"
Food Prices for Nutrition 1.1,"2017","Iraq","39621162"
Food Prices for Nutrition 1.1,"2017","Ireland","4807388"
Food Prices for Nutrition 1.1,"2017","Israel","8713300"
Food Prices for Nutrition 1.1,"2017","Italy","60536709"
Food Prices for Nutrition 1.1,"2017","Jamaica","2808376"
Food Prices for Nutrition 1.1,"2017","Japan","126972000"
Food Prices for Nutrition 1.1,"2017","Jordan","10215381"
Food Prices for Nutrition 1.1,"2017","Kazakhstan","18037776"
Food Prices for Nutrition 1.1,"2017","Kenya","48948137"
Food Prices for Nutrition 1.1,"2017","Korea, Rep.","51361911"
Food Prices for Nutrition 1.1,"2017","Kuwait","4124904"
Food Prices for Nutrition 1.1,"2017","Kyrgyz Republic","6198200"
Food Prices for Nutrition 1.1,"2017","Lao PDR","6997917"
Food Prices for Nutrition 1.1,"2017","Latin America & Caribbean","572342871"
Food Prices for Nutrition 1.1,"2017","Latvia","1942248"
Food Prices for Nutrition 1.1,"2017","Lesotho","2170617"
Food Prices for Nutrition 1.1,"2017","Liberia","4796631"
Food Prices for Nutrition 1.1,"2017","Lithuania","2828403"
Food Prices for Nutrition 1.1,"2017","Low income","487090766"
Food Prices for Nutrition 1.1,"2017","Lower middle income","3148189256"
Food Prices for Nutrition 1.1,"2017","Luxembourg","596336"
Food Prices for Nutrition 1.1,"2017","Madagascar","26169542"
Food Prices for Nutrition 1.1,"2017","Malawi","17881167"
Food Prices for Nutrition 1.1,"2017","Malaysia","31975806"
Food Prices for Nutrition 1.1,"2017","Maldives","472442"
Food Prices for Nutrition 1.1,"2017","Mali","19311355"
Food Prices for Nutrition 1.1,"2017","Malta","467999"
Food Prices for Nutrition 1.1,"2017","Mauritania","4160015"
Food Prices for Nutrition 1.1,"2017","Mauritius","1264613"
Food Prices for Nutrition 1.1,"2017","Mexico","122839258"
Food Prices for Nutrition 1.1,"2017","Middle East & North Africa","395380211"
Food Prices for Nutrition 1.1,"2017","Moldova","2755189"
Food Prices for Nutrition 1.1,"2017","Mongolia","3096030"
Food Prices for Nutrition 1.1,"2017","Montenegro","622373"
Food Prices for Nutrition 1.1,"2017","Montserrat",""
Food Prices for Nutrition 1.1,"2017","Morocco","35528115"
Food Prices for Nutrition 1.1,"2017","Mozambique","28569441"
Food Prices for Nutrition 1.1,"2017","Myanmar","52288341"
Food Prices for Nutrition 1.1,"2017","Namibia","2364534"
Food Prices for Nutrition 1.1,"2017","Nepal","28183426"
Food Prices for Nutrition 1.1,"2017","Netherlands","17131296"
Food Prices for Nutrition 1.1,"2017","New Zealand","4813600"
Food Prices for Nutrition 1.1,"2017","Nicaragua","6480532"
Food Prices for Nutrition 1.1,"2017","Niger","21737922"
Food Prices for Nutrition 1.1,"2017","Nigeria","193495907"
Food Prices for Nutrition 1.1,"2017","North America","361731237"
Food Prices for Nutrition 1.1,"2017","North Macedonia","2074502"
Food Prices for Nutrition 1.1,"2017","Norway","5276968"
Food Prices for Nutrition 1.1,"2017","Oman","4541854"
Food Prices for Nutrition 1.1,"2017","Pakistan","216379655"
Food Prices for Nutrition 1.1,"2017","Panama","4096063"
Food Prices for Nutrition 1.1,"2017","Paraguay","6355404"
Food Prices for Nutrition 1.1,"2017","Peru","31605486"
Food Prices for Nutrition 1.1,"2017","Philippines","106738501"
Food Prices for Nutrition 1.1,"2017","Poland","37974826"
Food Prices for Nutrition 1.1,"2017","Portugal","10300300"
Food Prices for Nutrition 1.1,"2017","Qatar","2711755"
Food Prices for Nutrition 1.1,"2017","Romania","19588715"
Food Prices for Nutrition 1.1,"2017","Russian Federation","144496739"
Food Prices for Nutrition 1.1,"2017","Rwanda","12230339"
Food Prices for Nutrition 1.1,"2017","Sao Tome and Principe","208036"
Food Prices for Nutrition 1.1,"2017","Saudi Arabia","34193122"
Food Prices for Nutrition 1.1,"2017","Senegal","15157793"
Food Prices for Nutrition 1.1,"2017","Serbia","7020858"
Food Prices for Nutrition 1.1,"2017","Seychelles","95843"
Food Prices for Nutrition 1.1,"2017","Sierra Leone","7677565"
Food Prices for Nutrition 1.1,"2017","Singapore","5612253"
Food Prices for Nutrition 1.1,"2017","Sint Maarten (Dutch part)","40574"
Food Prices for Nutrition 1.1,"2017","Slovak Republic","5439232"
Food Prices for Nutrition 1.1,"2017","Slovenia","2066388"
Food Prices for Nutrition 1.1,"2017","South Africa","56641209"
Food Prices for Nutrition 1.1,"2017","South Asia","1783225288"
Food Prices for Nutrition 1.1,"2017","Spain","46593236"
Food Prices for Nutrition 1.1,"2017","Sri Lanka","21444000"
Food Prices for Nutrition 1.1,"2017","St. Kitts and Nevis","47785"
Food Prices for Nutrition 1.1,"2017","St. Lucia","177163"
Food Prices for Nutrition 1.1,"2017","St. Vincent and the Grenadines","105549"
Food Prices for Nutrition 1.1,"2017","Sub-Saharan Africa","1034965620"
Food Prices for Nutrition 1.1,"2017","Sudan","40679828"
Food Prices for Nutrition 1.1,"2017","Suriname","587559"
Food Prices for Nutrition 1.1,"2017","Sweden","10057698"
Food Prices for Nutrition 1.1,"2017","Switzerland","8451840"
Food Prices for Nutrition 1.1,"2017","Taiwan, China","23552470"
Food Prices for Nutrition 1.1,"2017","Tajikistan","8925525"
Food Prices for Nutrition 1.1,"2017","Tanzania","56267032"
Food Prices for Nutrition 1.1,"2017","Thailand","70898202"
Food Prices for Nutrition 1.1,"2017","Togo","7852795"
Food Prices for Nutrition 1.1,"2017","Trinidad and Tobago","1478607"
Food Prices for Nutrition 1.1,"2017","Tunisia","11811443"
Food Prices for Nutrition 1.1,"2017","T�rkiye","82089826"
Food Prices for Nutrition 1.1,"2017","Turks and Caicos Islands","39844"
Food Prices for Nutrition 1.1,"2017","Uganda","40127085"
Food Prices for Nutrition 1.1,"2017","United Arab Emirates","9068296"
Food Prices for Nutrition 1.1,"2017","United Kingdom","66058859"
Food Prices for Nutrition 1.1,"2017","United States","325122128"
Food Prices for Nutrition 1.1,"2017","Upper middle income","2431589377"
Food Prices for Nutrition 1.1,"2017","Uruguay","3422200"
Food Prices for Nutrition 1.1,"2017","Vietnam","94033048"
Food Prices for Nutrition 1.1,"2017","West Bank and Gaza","4454805"
Food Prices for Nutrition 1.1,"2017","World","7262444211"
Food Prices for Nutrition 1.1,"2017","Zambia","17298054"
Food Prices for Nutrition 1.1,"2017","Zimbabwe","14751101"
